,Vds,Idr14,Idr10,Idr18
162,1.63,0.000156100287,5.5591914e-05,0.000272982215
163,1.64,0.000156159172,5.56169442e-05,0.000273087528
164,1.65,0.000156217686,5.5641889e-05,0.000273191881
165,1.66,0.000156275835,5.566675e-05,0.000273295295
166,1.67,0.000156333628,5.56915291e-05,0.000273397792
167,1.68,0.000156391071,5.57162281e-05,0.000273499393
168,1.69,0.00015644817,5.57408489e-05,0.000273600119
169,1.7,0.000156504933,5.57653933e-05,0.000273699988
170,1.71,0.000156561366,5.57898632e-05,0.00027379902
171,1.72,0.000156617476,5.58142605e-05,0.000273897233
172,1.73,0.000156673267,5.58385871e-05,0.000273994644
173,1.74,0.000156728748,5.5862845e-05,0.000274091271
174,1.75,0.000156783923,5.58870362e-05,0.000274187131
175,1.76,0.000156838798,5.59111629e-05,0.000274282239
176,1.77,0.00015689338,5.59352271e-05,0.000274376612
177,1.78,0.000156947673,5.59592312e-05,0.000274470264
178,1.79,0.000157001684,5.59831774e-05,0.00027456321
179,1.8,0.000157055417,5.6007068e-05,0.000274655465
