,Vgs,Idr02,Idr05,Idr18
98,1.39,6.93459457e-05,0.000129631727,0.000154221387
99,1.4,7.01402131e-05,0.000131607131,0.000157055417
100,1.41,7.09287126e-05,0.000133571668,0.000159899046
101,1.42,7.17113833e-05,0.000135525031,0.000162751878
102,1.43,7.24881667e-05,0.000137466932,0.000165613523
103,1.44,7.32590064e-05,0.000139397103,0.000168483598
104,1.45,7.40238483e-05,0.000141315295,0.000171361725
105,1.46,7.47826406e-05,0.000143221275,0.000174247534
106,1.47,7.55353337e-05,0.000145114826,0.000177140657
107,1.48,7.62818802e-05,0.000146995748,0.000180040737
108,1.49,7.70222347e-05,0.000148863849,0.000182947417
109,1.5,7.77563543e-05,0.000150718956,0.000185860351
110,1.51,7.8484198e-05,0.000152560901,0.000188779196
111,1.52,7.9205727e-05,0.000154389533,0.000191703615
112,1.53,7.99209046e-05,0.000156204705,0.000194633278
113,1.54,8.0629696e-05,0.000158006284,0.000197567859
114,1.55,8.13320688e-05,0.000159794143,0.000200507039
115,1.56,8.20279924e-05,0.000161568165,0.000203450503
116,1.57,8.27174381e-05,0.000163328239,0.000206397944
117,1.58,8.34003795e-05,0.000165074262,0.000209349058
118,1.59,8.40767919e-05,0.000166806137,0.000212303548
119,1.6,8.47466526e-05,0.000168523776,0.000215261121
120,1.61,8.54099408e-05,0.000170227093,0.000218221492
121,1.62,8.60666376e-05,0.000171916012,0.000221184378
122,1.63,8.6716726e-05,0.00017359046,0.000224149502
123,1.64,8.73601907e-05,0.00017525037,0.000227116595
124,1.65,8.79970183e-05,0.000176895681,0.00023008539
125,1.66,8.86271972e-05,0.000178526336,0.000233055625
126,1.67,8.92507175e-05,0.000180142284,0.000236027045
127,1.68,8.98675708e-05,0.000181743475,0.000238999398
128,1.69,9.04777508e-05,0.000183329869,0.000241972439
129,1.7,9.10812526e-05,0.000184901426,0.000244945926
130,1.71,9.16780729e-05,0.000186458113,0.000247919621
131,1.72,9.22682102e-05,0.000187999899,0.000250893294
132,1.73,9.28516644e-05,0.000189526757,0.000253866715
133,1.74,9.34284369e-05,0.000191038667,0.000256839663
134,1.75,9.39985308e-05,0.000192535609,0.000259811919
135,1.76,9.45619506e-05,0.000194017569,0.000262783268
136,1.77,9.51187023e-05,0.000195484535,0.0002657535
137,1.78,9.56687931e-05,0.000196936501,0.000268722411
138,1.79,9.62122319e-05,0.000198373461,0.000271689798
139,1.8,9.67490287e-05,0.000199795416,0.000274655465
