,Time,Voltage,Current,Power
0,0.0,0.0,0.0,0.0
1,1e-07,0.00018849555809916162,-0.471238895247904,-8.882643855778603e-05
2,2e-07,0.0003769911095009675,-0.47123887850451474,-0.00017765286764740863
3,4e-07,0.0007539821654230909,-0.47123876130079356,-0.00035530562167686736
4,8e-07,0.0015079639022154737,-0.4712384096896849,-0.0007106105111494714
5,1.6e-06,0.003015924375386746,-0.47123688604236036,-0.0014212148111965009
6,3.2e-06,0.006031821318466668,-0.4712309086701152,-0.00284238064083682
7,6.4e-06,0.012063423179975849,-0.4712068821906943,-0.0056843680251833706
8,1.28e-05,0.02412509075219879,-0.4711108968892228,-0.011365593141802268
9,2.28e-05,0.0429637588198551,-0.4708225064935925,-0.02022830461595037
10,3.28e-05,0.061787162068579725,-0.4703476559426387,-0.029061446846304396
11,4.28e-05,0.08058861263282822,-0.46972487226978554,-0.03785447577535447
12,5.2799999999999996e-05,0.09936143044674049,-0.4689160184258281,-0.0465921663501804
13,6.28e-05,0.11809894561753621,-0.46795974011395813,-0.055265551898914723
14,7.28e-05,0.1367945007952961,-0.4668180187740356,-0.06385813784044336
15,8.28e-05,0.15544145353828653,-0.4655296183754851,-0.07236260054540923
16,9.279999999999999e-05,0.17403317867298768,-0.4640566383595708,-0.0807612518580172
17,0.00010279999999999999,0.1925630706479858,-0.4624379603903357,-0.08904847363695467
18,0.00011279999999999999,0.2110245458808945,-0.4606358012550995,-0.09720546077633935
19,0.0001228,0.22941104509747004,-0.4586891595736766,-0.10522835947267736
20,0.0001328,0.2477160356620902,-0.45656036865733185,-0.11309732456421666
21,0.0001428,0.2659330138987687,-0.45428854317659706,-0.12081032146663338
22,0.0001528,0.28405550740188046,-0.45183613197898964,-0.12834654173179494
23,0.0001628,0.3020770773357761,-0.4492423647157935,-0.13570582054875968
24,0.0001728,0.31999132072247,-0.4464698046188982,-0.14286646244270437
25,0.0001828,0.33779187271658767,-0.44355779508698134,-0.14983021826047188
26,0.0001928,0.35547240886676507,-0.44046901242188596,-0.15657458087677287
27,0.0002028,0.3730266473626958,-0.43724291237464996,-0.16310325768621664
28,0.0002128,0.39044835126702904,-0.4338422828420043,-0.16939300404558466
29,0.0002228,0.40773133073132295,-0.43030669037268865,-0.1754495194882477
30,0.0002328,0.424869445195269,-0.42659903282461187,-0.18124889439703118
31,0.0002428,0.4418566055684031,-0.4227589858320968,-0.18679885045331093
32,0.00025279999999999996,0.45868677639353106,-0.4187495554242986,-0.1920748836937958
33,0.0002628,0.47535397799109774,-0.4146105244540301,-0.19708676211619852
34,0.0002728,0.49185228858373825,-0.41030500517799595,-0.20180945581415988
35,0.00028280000000000004,0.5081758464002577,-0.40587288564797674,-0.20625479719507558
36,0.00029280000000000007,0.5243188517582903,-0.40127738225364595,-0.2103972962998042
37,0.0003028000000000001,0.5402755691248994,-0.39655848607680966,-0.21425086175645683
38,0.0003128000000000001,0.5560403291543842,-0.39167951539742774,-0.21778960666461541
39,0.00032280000000000015,0.5716075307025722,-0.3866805620119784,-0.22102952122234984
40,0.0003328000000000002,0.5869716428168782,-0.38152504370331997,-0.22394438167831898
41,0.0003428000000000002,0.602127206701426,-0.37625315052406805,-0.2265522585376683
42,0.00035280000000000023,0.6170688376565329,-0.3708283972312678,-0.22882664804953348
43,0.00036280000000000025,0.6317912269918663,-0.36529106953539525,-0.23078769303093852
44,0.0003728000000000003,0.646289143912598,-0.35960477650117895,-0.23240866315182807
45,0.0003828000000000003,0.6605574373778795,-0.35380989676288976,-0.23371175872462657
46,0.00039280000000000033,0.674591037930983,-0.34787013089227514,-0.2346700726638068
47,0.00040280000000000036,0.6883849595004544,-0.3418259475812988,-0.23530784108195682
48,0.0004128000000000004,0.7019343011716415,-0.3356411359780509,-0.23559802622720905
49,0.0004228000000000004,0.7152342489279653,-0.3293562518381421,-0.23556687141318336
50,0.00043280000000000044,0.7282800773613173,-0.32293516982945647,-0.23518725046608668
51,0.00044280000000000046,0.7410671513509745,-0.31641852965340433,-0.23448737840491218
52,0.0004528000000000005,0.7535909277104351,-0.3097702883196334,-0.23344007895192148
53,0.0004628000000000005,0.7658469568015925,-0.30303116623824167,-0.23207549647959488
54,0.00047280000000000054,0.777830884115669,-0.29616519946557673,-0.230366438944603
55,0.00048280000000000057,0.7895384518203526,-0.28921318576860244,-0.22834493093777442
56,0.0004928000000000006,0.8009655002725852,-0.28213923684303666,-0.22598379498450824
57,0.0005028000000000006,0.8121079694964626,-0.27498422435083114,-0.2233168800811132
58,0.0005128000000000006,0.8229619006257257,-0.2677123321123247,-0.22031704965610424
59,0.0005228000000000007,0.8335234373103269,-0.26036450211772433,-0.21701991475875745
60,0.0005328000000000007,0.8437888270865718,-0.2529049866945101,-0.21339840208730573
61,0.0005428000000000007,0.8537544227103531,-0.2453747944945519,-0.20948981602136768
62,0.0005528000000000008,0.8634166834529977,-0.2377382426376755,-0.20526716498816583
63,0.0005628000000000008,0.8727721763592718,-0.23003640267602776,-0.20076937180541457
64,0.0005728000000000008,0.8818175774670933,-0.22223365271504747,-0.1959695412688465
65,0.0005828000000000008,0.8905496729885193,-0.2143711233562442,-0.1909081338030848
66,0.0005928000000000009,0.8989653604515897,-0.20641324979726505,-0.1855583615059824
67,0.0006028000000000009,0.9070616498026214,-0.1984012177543093,-0.17996213589907292
68,0.0006128000000000009,0.9148356644685594,-0.19029951554257707,-0.17409278374943843
69,0.0006228000000000009,0.9222846423790095,-0.18214937997991854,-0.1679935757743375
70,0.000632800000000001,0.9294059369475896,-0.17391534844907852,-0.16163795737488235
