,time,inm,inp,nois,outm,outp,ip,im,vp
0,0.0,1.3,1.3,0.0,1.112051457395659,1.112051457395659,0.00017198713564425816,0.00017198713564425816,0.3992455404571269
1,1e-10,1.30050031227431,1.300500316044221,0.000500314159265357,1.1117562847387328,1.1117562679779864,0.00017206093299648728,0.00017206092881139057,0.39960205160093826
2,2e-10,1.3010006245486194,1.301000632088442,0.0010006283185307015,1.1115923068774627,1.1115922693804015,0.0001721019326552664,0.00017210192326899687,0.4000014052590805
3,4e-10,1.302001249097239,1.3020012641768837,0.0020012566370613038,1.111426648097829,1.1114265675889314,0.0001721433580925691,0.0001721433379699988,0.40081814978993713
4,8e-10,1.304002498194477,1.3040025283537664,0.004002513274121814,1.1112915656463143,1.1112913982777177,0.00017217715042505688,0.0001721771085883006,0.40246552985918915
5,1.6e-09,1.3080049963889477,1.3080050567075268,0.008005026548237277,1.1109192620646997,1.1109189217559319,0.00017227026955168867,0.00017227018447840692,0.4057524402711826
6,3.2e-09,1.3160099927778448,1.3160101134150028,0.016010053096423754,1.110266007056209,1.110265320773594,0.00017243366980324026,0.00017243349822848586,0.41233651334949833
7,6.4e-09,1.3320199855552832,1.3320202268295989,0.032020106192441104,1.1089391149027088,1.108937739701347,0.0001727655650682891,0.0001727652212721864,0.42551036617447985
8,1e-08,1.3500312274289097,1.350031604420028,0.05003141592446882,1.1075595349686813,1.1075573885650105,0.00017311065285952054,0.00017311011625054107,0.44035321402496397
9,1.064e-08,1.3500332259840693,1.3500336271026192,0.05003342654334429,1.1079291928409274,1.1079269091229842,0.0001730182727115448,0.00017301770178335119,0.4404193148787572
10,1.192e-08,1.3500372230942232,1.3500376724676364,0.050037447780929833,1.1079946219405985,1.1079920628271713,0.00017300198428671365,0.00017300134450692894,0.44042801671011333
11,1.4480000000000001e-08,1.3500452173137785,1.350045763196918,0.050045490255348254,1.1079350204315654,1.10793191039638,0.00017301702239080896,0.00017301624488652578,0.4404296424586912
12,1.9600000000000003e-08,1.3500612057491501,1.3500619446517421,0.05006157520044617,1.1079906797368584,1.1079864679612057,0.00017300338301140528,0.00017300233006523058,0.4404477531934158
13,2.984000000000001e-08,1.3500931825991116,1.3500943075406084,0.05009374506986006,1.1079344177926709,1.10792800239005,0.00017301799940128149,0.00017301639555000747,0.4404695129882164
14,5.032000000000001e-08,1.3501571361692977,1.3501590331886029,0.05015808467895031,1.1079859519183854,1.1079751294968194,0.0001730062176221736,0.00017300351201754438,0.44052727837925676
15,9.128000000000001e-08,1.3502850424178479,1.35028848359276,0.05028676300530385,1.1079266969059456,1.1079070605739518,0.00017302323485068882,0.00017301832576066545,0.4406286696338285
16,1.7320000000000002e-07,1.3505408483646937,1.350547377850749,0.05054411310772122,1.1079696642466674,1.1079324014199234,0.00017301689964455136,0.00017300758393190563,0.44084553659600306
17,3.3704000000000006e-07,1.351052410194628,1.351065116302429,0.051058763248528385,1.1078945995488303,1.1078220877191696,0.0001730444780676521,0.00017302635011162693,0.4412651778775871
18,6.647200000000001e-07,1.3520751427280304,1.352100202075098,0.05208767240156414,1.1079054783219238,1.107762486676146,0.00017305937831935125,0.00017302363040982982,0.4421182315598753
19,1.3200800000000002e-06,1.354117517275357,1.3541672830675637,0.05414240017146038,1.1077673362820761,1.107483454448196,0.00017312913638534155,0.00017305816592028123,0.44380790952213756
20,2.6308000000000003e-06,1.3581777265361117,1.3582769049530627,0.0582273157445871,1.1076558816946178,1.1070905077092832,0.00017322737306102454,0.00017308602956944696,0.44718174211079376
21,5.2522400000000006e-06,1.366103527736338,1.3663015292849763,0.06620252851065703,1.1072953916897288,1.106168180486272,0.00017345795487244686,0.00017317615206735582,0.4537572754201139
22,1.0495120000000002e-05,1.3804354219498882,1.3808310528456746,0.08063323739778132,1.1068736934899353,1.1046271610628278,0.00017384320972979594,0.00017328157661467003,0.46567640902704405
23,2.0980880000000003e-05,1.3980188078074984,1.3988095621821375,0.09841418499481795,1.1066982201182174,1.1022230260718056,0.00017444424347701215,0.0001733254449618471,0.4803628448404167
24,3.0010000000000006e-05,1.3969777348346732,1.39810848191263,0.09754310837365154,1.1077640948098757,1.101363240238034,0.0001746591899305372,0.00017305897628716593,0.47964499234440394
25,3.0011000000000005e-05,1.3919767432387908,1.393107527955557,0.0925421355971739,1.108482751117902,1.1020771283840005,0.00017448071789516462,0.00017287931221687813,0.4755794565904611
26,3.0013000000000006e-05,1.3819747594839524,1.3831056194783258,0.08254018948113903,1.1092293001919702,1.1028112010936897,0.0001742971997202858,0.00017269267494413043,0.4673190168538606
27,3.0017000000000008e-05,1.361970789722157,1.363101800271696,0.0625362949969263,1.11064003888569,1.1041982476115901,0.00017395043808932087,0.00017233999027155278,0.45080076555306114
28,3.0020000000000007e-05,1.3469678104303435,1.3480989338962148,0.04753337216327916,1.1118176328672662,1.1053595245940435,0.0001736601188468967,0.00017204559178196632,0.4384314223543175
29,3.002080000000001e-05,1.3469670156672888,1.3480981692441756,0.047532592455732145,1.1114137967221942,1.1049544192194085,0.00017376139518887612,0.00017214655081687624,0.43836314776719576
30,3.002240000000001e-05,1.3469654257808945,1.348096639579805,0.04753103268034986,1.111357312538824,1.1048974837111716,0.00017377562906517596,0.00017216067185188422,0.4383572375906318
31,3.002560000000001e-05,1.3469622445670237,1.3480935788099513,0.047527911688487516,1.1114102761516615,1.104949856082992,0.00017376253597944924,0.00017214743095195217,0.43835902584513053
